id_produto;pn;nome;local_catalogo;status_catalogo;qty_catalogo;qty_estoque_disponivel;diferenca;cadastros_no_catalogo;ids_duplicados;classificacao
21;118554;PIN;C3;ATIVO;1952;0.000;1952.000;2;21,598;SEM_ENTRADA_NO_MODULO_ESTOQUE
598;118554;PIN;;ATIVO;1952;0.000;1952.000;2;21,598;SEM_ENTRADA_NO_MODULO_ESTOQUE
99;379-S-17;PACKING;D4;ATIVO;774;0.000;774.000;1;99;SEM_ENTRADA_NO_MODULO_ESTOQUE
113;901211-K1;PIN;C1;ATIVO;377;0.000;377.000;1;113;SEM_ENTRADA_NO_MODULO_ESTOQUE
56;951397;PACKING;D6;ATIVO;297;0.000;297.000;1;56;SEM_ENTRADA_NO_MODULO_ESTOQUE
111;901207-K1;PIN;D4;ATIVO;265;0.000;265.000;1;111;SEM_ENTRADA_NO_MODULO_ESTOQUE
102;379-S-4;PACKING;C7;ATIVO;214;0.000;214.000;1;102;SEM_ENTRADA_NO_MODULO_ESTOQUE
88;317-S-6;PACKING;C3;ATIVO;207;0.000;207.000;1;88;SEM_ENTRADA_NO_MODULO_ESTOQUE
97;379-S-15;PACKING;B7;ATIVO;197;0.000;197.000;1;97;SEM_ENTRADA_NO_MODULO_ESTOQUE
414;AS3209-012;PACKING;;ATIVO;191;0.000;191.000;1;414;SEM_ENTRADA_NO_MODULO_ESTOQUE
106;557-S-4;PACKING;B8;ATIVO;182;0.000;182.000;1;106;SEM_ENTRADA_NO_MODULO_ESTOQUE
15;317-S-1;PACKING;C2;ATIVO;171;0.000;171.000;1;15;SEM_ENTRADA_NO_MODULO_ESTOQUE
109;557-S-6;PACKING;B8;ATIVO;149;0.000;149.000;1;109;SEM_ENTRADA_NO_MODULO_ESTOQUE
319;MS9276-09;KEY WASHER;D6;ATIVO;148;0.000;148.000;1;319;SEM_ENTRADA_NO_MODULO_ESTOQUE
96;379-S-14;PACKING;B4;ATIVO;144;0.000;144.000;1;96;SEM_ENTRADA_NO_MODULO_ESTOQUE
114;901212-K1;PIN;A4;ATIVO;142;0.000;142.000;1;114;SEM_ENTRADA_NO_MODULO_ESTOQUE
234;M25988-1-018;PACKING;C5;ATIVO;142;0.000;142.000;1;234;SEM_ENTRADA_NO_MODULO_ESTOQUE
228;M25988-1-916;PACKING;D6;ATIVO;138;0.000;138.000;2;228,533;SEM_ENTRADA_NO_MODULO_ESTOQUE
101;379-S-26;PACKING;B4;ATIVO;132;0.000;132.000;1;101;SEM_ENTRADA_NO_MODULO_ESTOQUE
227;M25988-1-212;PACKING;A3;ATIVO;127;0.000;127.000;1;227;SEM_ENTRADA_NO_MODULO_ESTOQUE
367;3014222;PACKING;C1;ATIVO;126;0.000;126.000;1;367;SEM_ENTRADA_NO_MODULO_ESTOQUE
539;3014223;PACKING;B4;ATIVO;126;0.000;126.000;1;539;SEM_ENTRADA_NO_MODULO_ESTOQUE
98;379-S-16;PACKING;C2;ATIVO;123;0.000;123.000;1;98;SEM_ENTRADA_NO_MODULO_ESTOQUE
48;951390;PACKING;B7;ATIVO;119;0.000;119.000;1;48;SEM_ENTRADA_NO_MODULO_ESTOQUE
230;M25988-1-012;PACKING;A5;ATIVO;115;0.000;115.000;1;230;SEM_ENTRADA_NO_MODULO_ESTOQUE
168;M25988-1-928;PACKING;D5;ATIVO;115;0.000;115.000;1;168;SEM_ENTRADA_NO_MODULO_ESTOQUE
411;AS3208-01;PACKING;;ATIVO;112;0.000;112.000;1;411;SEM_ENTRADA_NO_MODULO_ESTOQUE
107;557-S-5;PACKING;B8;ATIVO;109;0.000;109.000;1;107;SEM_ENTRADA_NO_MODULO_ESTOQUE
351;AS3209-022;PACKING;C7;ATIVO;99;0.000;99.000;1;351;SEM_ENTRADA_NO_MODULO_ESTOQUE
173;M25988-4-135;PACKING;A5;ATIVO;97;0.000;97.000;1;173;SEM_ENTRADA_NO_MODULO_ESTOQUE
201;MS9058-06;RING;D1;ATIVO;95;0.000;95.000;1;201;SEM_ENTRADA_NO_MODULO_ESTOQUE
169;M25988-4-012;PACKING;C5;ATIVO;91;0.000;91.000;1;169;SEM_ENTRADA_NO_MODULO_ESTOQUE
372;AS3208-06;PACKING;D4;ATIVO;90;0.000;90.000;1;372;SEM_ENTRADA_NO_MODULO_ESTOQUE
200;MS9058-04;RING;A5;ATIVO;89;0.000;89.000;1;200;SEM_ENTRADA_NO_MODULO_ESTOQUE
268;3029566;GASKET;D7;ATIVO;85;0.000;85.000;1;268;SEM_ENTRADA_NO_MODULO_ESTOQUE
197;MS25988-1-916;PACKING;;true;84;0.000;84.000;1;197;SEM_ENTRADA_NO_MODULO_ESTOQUE
49;951391;PACKING;B1;ATIVO;85;2.000;83.000;1;49;CATALOGO_MAIOR_QUE_ESTOQUE
231;M25988-1-031;PACKING;D4;ATIVO;82;0.000;82.000;1;231;SEM_ENTRADA_NO_MODULO_ESTOQUE
229;M25988-1-908;PACKING;A3;ATIVO;78;0.000;78.000;1;229;SEM_ENTRADA_NO_MODULO_ESTOQUE
533;M25988-1-916;PACKING;D5;ATIVO;74;0.000;74.000;2;228,533;SEM_ENTRADA_NO_MODULO_ESTOQUE
63;951789;PACKING;C2;ATIVO;72;0.000;72.000;1;63;SEM_ENTRADA_NO_MODULO_ESTOQUE
627;M25988-1-013;PACKING;;ATIVO;70;0.000;70.000;1;627;SEM_ENTRADA_NO_MODULO_ESTOQUE
60;951406;PACKING;C7;ATIVO;69;0.000;69.000;1;60;SEM_ENTRADA_NO_MODULO_ESTOQUE
171;M25988-4-017;PACKING;C4;ATIVO;68;0.000;68.000;1;171;SEM_ENTRADA_NO_MODULO_ESTOQUE
110;566-S-22;PACKING;B5;ATIVO;67;0.000;67.000;1;110;SEM_ENTRADA_NO_MODULO_ESTOQUE
8;AN960-C10L;WASHER;D4;ATIVO;60;0.000;60.000;1;8;SEM_ENTRADA_NO_MODULO_ESTOQUE
150;M25988-1-022;PACKING;A2;ATIVO;60;118.000;-58.000;1;150;ESTOQUE_MAIOR_QUE_CATALOGO
625;AS3209-120;PACKING;;ATIVO;52;0.000;52.000;1;625;SEM_ENTRADA_NO_MODULO_ESTOQUE
14;379-S-13;PACKING;C5;ATIVO;51;0.000;51.000;1;14;SEM_ENTRADA_NO_MODULO_ESTOQUE
50;951393;PACKING;D3;ATIVO;51;0.000;51.000;1;50;SEM_ENTRADA_NO_MODULO_ESTOQUE
232;M25988-1-015;PACKING;;ATIVO;50;0.000;50.000;1;232;SEM_ENTRADA_NO_MODULO_ESTOQUE
418;M83248-1-011;PACKING;;ATIVO;50;0.000;50.000;1;418;SEM_ENTRADA_NO_MODULO_ESTOQUE
739;NAS118908P16KW;SCREW;;ATIVO;0;48.000;-48.000;1;739;ESTOQUE_MAIOR_QUE_CATALOGO
233;M25988-1-016;PACKING;C5;ATIVO;46;0.000;46.000;1;233;SEM_ENTRADA_NO_MODULO_ESTOQUE
750;MS16628-1078;SNAP RING;;ATIVO;44;0.000;44.000;1;750;SEM_ENTRADA_NO_MODULO_ESTOQUE
44;951386;PACKING;D2;ATIVO;40;0.000;40.000;1;44;SEM_ENTRADA_NO_MODULO_ESTOQUE
54;951395;PACKING;B7;ATIVO;39;0.000;39.000;1;54;SEM_ENTRADA_NO_MODULO_ESTOQUE
174;M25988-4-908;PACKING;D5;ATIVO;37;0.000;37.000;1;174;SEM_ENTRADA_NO_MODULO_ESTOQUE
264;AS3209-016;PACKING;A7;ATIVO;35;0.000;35.000;1;264;SEM_ENTRADA_NO_MODULO_ESTOQUE
